district,city_corporation,upazila_thana,paurashava,union_ward,mauza,village_mahalla,location_name,hh_total,hh_general,hh_institutional,hh_others,pop_total,pop_male,pop_female,pop_hijra,sex_ratio,level
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,village
26,,,,,,,Dhaka,4029271,3737085,4753,287433,14734701,7900035,6833989,677,115.6,district
26,,,,,,,Rural,1014929,977786,789,36354,3497484,1805956,1691263,265,106.78,district
26,,,,,,,Urban,3014342,2759299,3964,251079,11237217,6094079,5142726,412,118.5,district
26,20,,,,,,Dhaka South City Corporation,1101733,1007018,1591,93124,4305063,2339434,1965459,170,119.03,city_corporation
26,20,5,,,,,Bangshal Thana,42816,35499,83,7234,176026,106946,69079,1,154.82,upazila_thana
26,20,5,,27,,,Ward No. 27 (Part),355,353,0,2,1262,649,613,0,105.87,union_ward
26,20,5,,27,149,,Dhaka (Part)*,355,353,0,2,1262,649,613,0,105.87,mauza
26,20,5,,27,149,624,Purba Nazimuddin Road,355,353,0,2,1262,649,613,0,105.87,village
26,20,5,,30,,,Ward No. 30 (Part),829,825,0,4,2624,1424,1200,0,118.67,union_ward
26,20,5,,30,149,,Dhaka (Part)*,829,825,0,4,2624,1424,1200,0,118.67,mauza
26,20,5,,30,149,48,Committeeganj Lane,10,10,0,0,29,17,12,0,141.67,village
26,20,5,,30,149,188,Jumman Bepari Lane(Nolgola-Part),226,224,0,2,736,408,328,0,124.39,village
26,20,5,,30,149,248,Mitford Road,252,251,0,1,717,401,316,0,126.9,village
26,20,5,,30,149,348,Rajani Bose Lane,341,340,0,1,1142,598,544,0,109.93,village
26,20,5,,31,,,Ward No. 31 (Part),3509,3270,6,233,14110,7903,6207,0,127.32,union_ward
26,20,5,,31,149,,Dhaka (Part)*,3509,3270,6,233,14110,7903,6207,0,127.32,mauza
26,20,5,,31,149,16,Abul Hasnat Road,225,209,1,15,1227,748,479,0,156.16,village
26,20,5,,31,149,32,Ac Ray Road,110,110,0,0,258,152,106,0,143.4,village
26,20,5,,31,149,88,Armenian Street,290,278,0,12,1108,618,490,0,126.12,village
26,20,5,,31,149,96,Aziz Ullah Road,23,23,0,0,113,57,56,0,101.79,village
26,20,5,,31,149,156,Becharam Dewry Road,538,514,1,23,2083,1147,936,0,122.54,village
26,20,5,,31,149,164,Begum Bazar Road,78,73,0,5,361,229,132,0,173.48,village
26,20,5,,31,149,208,Dc Ray Road,216,211,0,5,729,407,322,0,126.4,village
26,20,5,,31,149,292,Golam Mostafa Lane,299,242,0,57,1147,647,500,0,129.4,village
26,20,5,,31,149,428,Kedar Nath Dey Lane,80,64,0,16,234,178,56,0,317.86,village
26,20,5,,31,149,436,Km Azam Lane,308,245,0,63,1285,783,502,0,155.98,village
26,20,5,,31,149,516,Moulvi Abul Khayrat Road,552,538,4,10,2470,1292,1178,0,109.68,village
26,20,5,,31,149,536,Nabalak Mia Lane,88,78,0,10,280,157,123,0,127.64,village
26,20,5,,31,149,584,Nurbaksh Road,507,503,0,4,1981,1050,931,0,112.78,village
26,20,5,,31,149,608,Padmalochan Ray Lane,118,114,0,4,490,251,239,0,105.02,village
26,20,5,,31,149,692,Sharatchandra Chakrabarti Road,77,68,0,9,344,187,157,0,119.11,village
26,20,5,,32,,,Ward No. 32 (Part),5455,5115,3,337,23146,12291,10855,0,113.23,union_ward
26,20,5,,32,149,,Dhaka (Part)*,5455,5115,3,337,23146,12291,10855,0,113.23,mauza
26,20,5,,32,149,108,Bagdasa Lane,600,538,0,62,2493,1366,1127,0,121.21,village
26,20,5,,32,149,132,Bangshal Road,442,437,0,5,1894,953,941,0,101.28,village
26,20,5,,32,149,276,Gobindaprasad Lane,193,187,0,6,937,484,453,0,106.84,village
26,20,5,,32,149,316,Haji Abdul Rashid Lane,384,329,0,55,1728,1010,718,0,140.67,village
26,20,5,,32,149,348,Harni Lane,2,2,0,0,13,7,6,0,116.67,village
26,20,5,,32,149,388,Kasaituli Lane,716,678,0,38,2937,1499,1438,0,104.24,village
26,20,5,,32,149,420,Kazimuddin Siddiki Lane,196,192,1,3,847,424,423,0,100.24,village
26,20,5,,32,149,444,Kp Ghosh Street,1308,1243,2,63,5579,2927,2652,0,110.37,village
26,20,5,,32,149,668,Samsabad Lane,685,627,0,58,2855,1566,1289,0,121.49,village
26,20,5,,32,149,700,Sharatchandra Chakrabarti Road (Sscroad),929,882,0,47,3863,2055,1808,0,113.66,village
26,20,5,,33,,,Ward No. 33,16148,13871,39,2238,64566,37825,26741,0,141.45,union_ward
26,20,5,,33,149,,Dhaka (Part)*,16148,13871,39,2238,64566,37825,26741,0,141.45,mauza
26,20,5,,33,149,24,Abul Hasnat Road,1423,1372,2,49,5715,2959,2756,0,107.37,village
26,20,5,,33,149,41,Abdul Hadi Lane,894,824,1,69,3653,1954,1699,0,115.01,village
26,20,5,,33,149,48,Aga Sadek Road,3941,3331,16,594,15163,9034,6129,0,147.4,village
26,20,5,,33,149,56,Agamasi Lane,1903,1494,9,400,8664,5747,2917,0,197.02,village
26,20,5,,33,149,72,Ali Nekir Dewry Lane,861,794,0,67,3447,1839,1608,0,114.37,village
26,20,5,,33,149,140,Bangshal Road,946,899,0,47,3392,1754,1638,0,107.08,village
26,20,5,,33,149,180,Bk Ganguly Lane,1368,1130,2,236,5642,3394,2248,0,150.98,village
26,20,5,,33,149,188,Chankhar Pool Lane,1386,1223,0,163,4954,2673,2281,0,117.19,village
26,20,5,,33,149,500,Mazed Sardar Sarak,489,383,4,102,1945,1213,732,0,165.71,village
26,20,5,,33,149,544,Nawab Katara Road,1486,1304,4,178,5897,3345,2552,0,131.07,village
26,20,5,,33,149,724,Sikkatuli Lane,1451,1117,1,333,6094,3913,2181,0,179.41,village
26,20,5,,34,,,Ward No. 34,10415,7269,25,3121,44878,30751,14126,1,217.69,union_ward
26,20,5,,34,149,,Dhaka (Part)*,10415,7269,25,3121,44878,30751,14126,1,217.69,mauza
26,20,5,,34,149,116,Bangladuar,215,147,0,68,918,624,294,0,212.24,village
26,20,5,,34,149,340,Haji Osman Gani Road,1876,1287,4,585,7633,5108,2525,0,202.3,village
26,20,5,,34,149,404,Kazi Abdul Hamid Lane,78,17,0,61,344,313,31,0,1009.68,village
26,20,5,,34,149,412,Kazi Alauddin Road,1061,795,6,260,5224,3594,1630,0,220.49,village
26,20,5,,34,149,448,Lutfar Rahman Lane,2370,1917,4,449,9945,6434,3510,1,183.3,village
26,20,5,,34,149,484,Mati Sardar Road,212,116,0,96,860,615,245,0,251.02,village
26,20,5,,34,149,560,Nawabpur Road,130,55,1,74,494,377,117,0,322.22,village
26,20,5,,34,149,576,Nazira Bazar Lane,1193,964,1,228,4636,2726,1910,0,142.72,village
26,20,5,,34,149,684,Puratan Station,11,0,0,11,34,33,1,0,3300,village
26,20,5,,34,149,708,Siddik Bazar,2565,1488,8,1069,12004,9107,2897,0,314.36,village
26,20,5,,34,149,728,Takar Hat Lane,704,483,1,220,2786,1820,966,0,188.41,village
26,20,5,,35,,,Ward No. 35,6105,4796,10,1299,25440,16103,9337,0,172.46,union_ward
26,20,5,,35,149,,Dhaka (Part)*,6105,4796,10,1299,25440,16103,9337,0,172.46,mauza
26,20,5,,35,149,80,Anandamohan Basak Lane,603,532,1,70,2627,1513,1114,0,135.82,village
26,20,5,,35,149,124,Bangshal Lane,183,144,0,39,638,409,229,0,178.6,village
26,20,5,,35,149,148,Bangshal Road,328,277,2,49,1503,869,634,0,137.07,village
26,20,5,,35,149,172,Bhitarbari Lane,101,73,0,28,338,213,125,0,170.4,village
26,20,5,,35,149,228,English Road,81,80,0,1,307,177,130,0,136.15,village
26,20,5,,35,149,248,French Road,83,71,1,11,304,194,110,0,176.36,village
26,20,5,,35,149,268,Goalnagar Lane,616,608,0,8,2583,1321,1262,0,104.68,village
26,20,5,,35,149,284,Golak Pal Lane,339,151,0,188,1497,1213,284,0,427.11,village
26,20,5,,35,149,324,Haji Abdullah Sarkar Lane,1268,1174,0,94,5066,2833,2233,0,126.87,village
26,20,5,,35,149,332,Haji Mainuddin Road,97,58,0,39,388,276,112,0,246.43,village
26,20,5,,35,149,468,Malitola Lane,1079,779,6,294,4356,2995,1361,0,220.06,village
26,20,5,,35,149,476,Malitola Road,627,351,0,276,2765,2046,719,0,284.56,village
26,20,5,,35,149,528,Nababpur Road,116,69,0,47,541,358,183,0,195.63,village
26,20,5,,35,149,552,Nawab Yusuf Road,8,5,0,3,27,17,10,0,170,village
26,20,5,,35,149,616,Purana Mogaltuli Lane,576,424,0,152,2500,1669,831,0,200.84,village
26,20,9,,,,,Chakbazar Thana,31677,26483,38,5156,123053,70811,52242,0,135.54,upazila_thana
26,20,9,,27,,,Ward No. 27 (Part),7182,6040,17,1125,28310,15377,12933,0,118.9,union_ward
26,20,9,,27,447,,Lalbag (Part)*,7182,6040,17,1125,28310,15377,12933,0,118.9,mauza
26,20,9,,27,447,36,Bakshi Bazar Lane,563,495,1,67,2322,1455,867,0,167.82,village
26,20,9,,27,447,44,Bakshi Bazar Road,336,276,3,57,2196,716,1480,0,48.38,village
26,20,9,,27,447,56,Amlapara City Road (Buet Staff Quarter),498,425,3,70,2162,876,1286,0,68.12,village
26,20,9,,27,447,168,Girda Urdu Road,280,249,1,30,1124,595,529,0,112.48,village
26,20,9,,27,447,236,Hossaini Dalan Road,1758,1445,0,313,6299,3553,2746,0,129.39,village
26,20,9,,27,447,244,Hossaini Dalan Road (Nabab Bagicha),315,281,1,33,1255,675,580,0,116.38,village
26,20,9,,27,447,276,Joynag Road,578,481,0,97,2159,1200,959,0,125.13,village
26,20,9,,27,447,288,Kamaldaha Lane,212,109,0,103,681,464,217,0,213.82,village
26,20,9,,27,447,376,Nur Fatah Lane,519,452,3,64,2033,1095,938,0,116.74,village
26,20,9,,27,447,388,Orphanage Road,519,481,1,37,2199,1442,757,0,190.49,village
26,20,9,,27,447,424,Pashchim Nazimuddin Road,592,445,2,145,2191,1289,902,0,142.9,village
26,20,9,,27,447,508,Tantkhana Lane,301,262,1,38,982,550,432,0,127.31,village
26,20,9,,27,447,528,Umeshdatta Road,711,639,1,71,2707,1467,1240,0,118.31,village
26,20,9,,28,,,Ward No. 28,5294,4255,10,1029,20291,11781,8510,0,138.44,union_ward
26,20,9,,28,447,,Lalbag (Part)*,5294,4255,10,1029,20291,11781,8510,0,138.44,mauza
26,20,9,,28,447,68,Chak Circular Road (Chak Bazar),147,56,0,91,429,308,121,0,254.55,village
26,20,9,,28,447,176,Goursundar Ray Lane,329,288,0,41,1411,772,639,0,120.81,village
26,20,9,,28,447,212,Haranath Ghosh Lane,151,129,1,21,691,429,262,0,163.74,village
26,20,9,,28,447,220,Haranath Ghosh Road,772,624,5,143,3530,2137,1393,0,153.41,village
26,20,9,,28,447,228,Hayderbox Lane,282,236,0,46,1213,706,507,0,139.25,village
26,20,9,,28,447,296,Kb Rudra Road,326,267,0,59,1504,895,609,0,146.96,village
26,20,9,,28,447,304,Khaje Dal Sing Lane,449,329,0,120,1536,865,671,0,128.91,village
26,20,9,,28,447,312,Khaje Dewan First Lane,1608,1310,0,298,5258,2893,2365,0,122.33,village
26,20,9,,28,447,320,Khaje Dewan Second Lane,465,408,0,57,1633,906,727,0,124.62,village
26,20,9,,28,447,356,Mohammad Ajgar Lane,347,248,1,98,1174,723,451,0,160.31,village
26,20,9,,28,447,364,Moulana Mufti Din Mohammad Road (Urdu Road),128,86,0,42,639,442,197,0,224.37,village
26,20,9,,28,447,368,Nandakumar Datta Road,290,274,3,13,1273,705,568,0,124.12,village
26,20,9,,29,,,Ward No. 29,14425,12498,8,1919,55010,31263,23747,0,131.65,union_ward
26,20,9,,29,447,,Lalbag (Part)*,14425,12498,8,1919,55010,31263,23747,0,131.65,mauza
26,20,9,,29,447,188,Haji Ballu Road,891,680,4,207,3295,1964,1331,0,147.56,village
26,20,9,,29,447,196,Haji Rahimbox Lane,659,634,0,25,2577,1351,1226,0,110.2,village
26,20,9,,29,447,416,Pashchim Islambag,5844,5145,0,699,22224,12256,9968,0,122.95,village
26,20,9,,29,447,440,Purba Islambag,3709,3134,3,572,14390,8409,5981,0,140.6,village
26,20,9,,29,447,468,Rahmatganj Lane,1359,1131,0,228,4993,2978,2015,0,147.79,village
26,20,9,,29,447,488,Shayestakhan Road (Part),173,156,1,16,751,408,343,0,118.95,village
26,20,9,,29,447,568,Water Works Road,1790,1618,0,172,6780,3897,2883,0,135.17,village
26,20,9,,30,,,Ward No. 30 (Part),3161,2254,3,904,13297,8755,4542,0,192.76,union_ward
26,20,9,,30,149,,Dhaka (Part)*,17,5,0,12,27,17,10,0,170,mauza
26,20,9,,30,149,188,Jumman Bepari Lane-2,17,5,0,12,27,17,10,0,170,village
26,20,9,,30,447,,Lalbagh (Part)*,3144,2249,3,892,13270,8738,4532,0,192.81,mauza
26,20,9,,30,447,52,Bara Katara Lane,207,176,0,31,1764,1405,359,0,391.36,village
26,20,9,,30,447,60,Birendra Bose Street,124,38,1,85,260,179,81,0,220.99,village
26,20,9,,30,447,76,Champatali Lane,397,229,0,168,1321,895,426,0,210.09,village
26,20,9,,30,447,84,Chhota Kataraghat Road,121,45,0,76,537,447,90,0,496.67,village
26,20,9,,30,447,96,Debidasghat Lane,1396,1104,1,291,5624,3378,2246,0,150.4,village
26,20,9,,30,447,204,Hakim Habibur Rahman Road,94,86,0,8,393,241,152,0,158.55,village
26,20,9,,30,447,248,Imamganj Bazar Lane,100,73,0,27,451,302,149,0,202.68,village
26,20,9,,30,447,268,Jadab Narayan Das Lane,95,70,0,25,257,132,125,0,105.6,village
26,20,9,,30,447,348,Mahiuddin Lane,86,71,1,14,485,340,145,0,234.48,village
26,20,9,,30,447,476,Ray Ishwarchandra Shil Bahadur Street,211,153,0,58,806,516,290,0,177.93,village
26,20,9,,30,447,484,Ruihatta Lane,4,0,0,4,4,4,0,0,0,village
26,20,9,,30,447,496,Soarighat Porba,309,204,0,105,1368,899,469,0,191.68,village
26,20,9,,31,,,Ward No. 31 (Part),1615,1436,0,179,6145,3635,2510,0,144.82,union_ward
26,20,9,,31,149,,Dhaka (Part)*,1615,1436,0,179,6145,3635,2510,0,144.82,mauza
26,20,9,,31,149,40,Aga Nawab Dewry Lane,294,279,0,15,1090,619,471,0,131.42,village
26,20,9,,31,149,64,Ali Hossain Khan Road,191,167,0,24,620,371,249,0,149,village
26,20,9,,31,149,156,Becharam Dewry Road(Paschim),198,188,0,10,783,424,359,0,118.11,village
26,20,9,,31,149,164,Begum Bazar Road,153,137,0,16,536,341,195,0,174.87,village
26,20,9,,31,149,188,Bk Ray Lane,247,186,0,61,976,631,345,0,182.9,village
26,20,9,,31,149,216,Dwigu Babu Lane,41,39,0,2,214,114,100,0,114,village
26,20,9,,31,149,308,Hafiz Ullah Road,178,156,0,22,770,444,326,0,136.2,village
26,20,9,,31,149,368,Jail Road,157,140,0,17,648,368,280,0,131.43,village
26,20,9,,31,149,376,Jogendra Narayan Shil Lane,104,104,0,0,341,211,130,0,162.31,village
26,20,9,,31,149,396,Katara Makim Lane,14,14,0,0,36,19,17,0,111.76,village
26,20,9,,31,149,524,Moulvibazar Road,38,26,0,12,131,93,38,0,244.74,village
26,20,12,,,,,Demra Thana,69569,67541,113,1915,278836,146430,132400,6,110.6,upazila_thana
26,20,12,,64,,,Ward No. 64 (Part),8299,8130,6,163,32601,16789,15812,0,106.18,union_ward
26,20,12,,64,152,,Dharmik Para*,861,789,4,68,3514,1924,1590,0,121.01,mauza
