key,TOTAL_POP,TOTAL_MALE,TOTAL_FEMALE,SEX_RATIO,HH_SIZE,ENUMERATED_HH,QUICK_COUNT_HH,csv_pop_total,csv_pop_male,csv_pop_female,csv_hh_total,csv_sex_ratio,pop_diff,match_method,population,area_km2,density
26|00|14|143|098|028,723,355,368,97,3.6,202,240,723.0,355.0,368.0,202.0,96.47,0.0,code_match,723,1.0769166015080593,671.4
26|00|14|143|103|028,737,361,376,96,3.3,224,230,736.0,361.0,375.0,224.0,96.27,-1.0,code_match,737,1.3567422153586084,543.2
26|00|14|143|110|028,1300,628,672,94,4.0,329,311,1300.0,628.0,672.0,329.0,93.45,0.0,code_match,1300,1.2599983329660227,1031.7
26|00|14|143|112|028,1317,608,709,86,4.0,326,431,1317.0,608.0,709.0,326.0,85.75,0.0,code_match,1317,1.0812174320216943,1218.1
26|00|14|143|145|048,247,116,131,89,3.5,70,80,247.0,116.0,131.0,70.0,88.55,0.0,code_match,247,0.29814181112254323,828.5
26|00|14|143|146|048,470,226,244,93,3.9,120,120,470.0,226.0,244.0,120.0,92.62,0.0,code_match,470,0.5023553491026272,935.6
26|00|14|143|307|128,155,72,83,87,3.0,51,80,155.0,72.0,83.0,51.0,86.75,0.0,code_match,155,0.34818663757940654,445.2
26|00|14|143|309|128,1262,618,644,96,4.2,298,370,1262.0,618.0,644.0,298.0,95.96,0.0,code_match,1262,0.8038974936698021,1569.9
26|00|14|143|405|188,835,375,460,82,3.7,227,230,835.0,375.0,460.0,227.0,81.52,0.0,code_match,835,0.4633537558291958,1802.1
26|00|14|143|437|208,344,164,180,91,3.8,91,100,344.0,164.0,180.0,91.0,91.11,0.0,code_match,344,0.6231679371958899,552.0
26|00|14|143|438|208,165,79,86,92,4.0,41,40,165.0,79.0,86.0,41.0,91.86,0.0,code_match,165,0.38636561938225344,427.1
26|00|14|143|445|208,890,450,440,102,3.8,235,280,883.0,443.0,440.0,235.0,100.68,-7.0,code_match,890,1.2224087060347546,728.1
26|00|14|313|343|208,786,375,411,91,3.8,205,200,786.0,375.0,411.0,205.0,91.24,0.0,code_match,786,0.14359698526468034,5473.7
26|00|14|313|403|028,1325,657,668,98,4.2,312,320,1325.0,657.0,668.0,312.0,98.35,0.0,code_match,1325,0.8507046585978701,1557.5
26|00|14|313|403|029,1186,579,607,95,4.0,296,260,1186.0,579.0,607.0,296.0,95.39,0.0,code_match,1186,0.6400031532312174,1853.1
26|00|14|313|403|036,580,299,281,106,4.0,145,100,580.0,299.0,281.0,145.0,106.41,0.0,code_match,580,0.3466779562708117,1673.0
26|00|14|313|403|111,1652,876,776,113,4.1,404,366,1652.0,876.0,776.0,404.0,112.89,0.0,code_match,1652,0.7277500740318109,2270.0
26|00|14|313|403|188,239,120,119,101,4.2,57,110,239.0,120.0,119.0,57.0,100.84,0.0,code_match,239,0.14635059534126807,1633.1
26|00|14|313|403|268,114,62,52,119,4.1,28,50,114.0,62.0,52.0,28.0,119.23,0.0,code_match,114,0.12514561910537517,910.9
26|00|14|313|403|308,730,345,385,90,3.8,190,225,730.0,345.0,385.0,190.0,89.61,0.0,code_match,730,0.49629447314014175,1470.9
26|00|14|313|449|234,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,0.07052162812668016,0.0
26|00|14|313|451|068,367,181,186,97,3.9,93,100,367.0,181.0,186.0,93.0,97.31,0.0,code_match,367,0.09119118116620731,4024.5
26|00|14|313|451|208,186,91,95,96,4.1,45,20,186.0,91.0,95.0,45.0,95.79,0.0,code_match,186,0.17301786306576372,1075.0
26|00|14|313|455|208,1999,993,1006,99,3.9,514,448,1999.0,993.0,1006.0,514.0,98.71,0.0,code_match,1999,0.5668767717426282,3526.3
26|00|14|715|108|036,1648,811,837,97,3.8,437,380,1648.0,811.0,837.0,437.0,96.89,0.0,code_match,1648,1.302940832916921,1264.8
26|00|14|715|108|044,2426,1212,1214,100,4.0,603,500,2426.0,1212.0,1214.0,603.0,99.84,0.0,code_match,2426,1.2737219590523172,1904.7
26|00|14|715|108|208,1796,901,895,101,3.3,552,490,1800.0,903.0,897.0,552.0,100.67,4.0,code_match,1796,0.5451910431421537,3294.3
26|00|14|715|118|028,494,241,253,95,4.1,120,120,494.0,241.0,253.0,120.0,95.26,0.0,code_match,494,0.5614365074275525,879.9
26|00|14|715|160|048,434,205,229,90,4.2,104,105,434.0,205.0,229.0,104.0,89.52,0.0,code_match,434,0.31275875579582646,1387.7
26|00|14|715|194|068,349,175,174,101,4.2,84,70,349.0,175.0,174.0,84.0,100.57,0.0,code_match,349,0.16341030211749435,2135.7
26|00|14|715|211|028,292,146,146,100,4.3,68,60,292.0,146.0,146.0,68.0,100.0,0.0,code_match,292,0.3099528621449208,942.1
26|00|14|715|211|036,407,194,213,91,4.0,101,80,407.0,194.0,213.0,101.0,91.08,0.0,code_match,407,0.09250891569232045,4399.6
26|00|14|715|211|054,248,129,119,108,4.2,59,60,248.0,129.0,119.0,59.0,108.4,0.0,code_match,248,0.6100345827207476,406.5
26|00|14|715|211|068,2098,1040,1058,98,3.9,539,509,2097.0,1040.0,1057.0,539.0,98.39,-1.0,code_match,2098,1.2762338505175241,1643.9
26|00|14|715|211|188,777,408,369,111,4.5,174,180,777.0,408.0,369.0,174.0,110.57,0.0,code_match,777,0.49029817248727486,1584.7
26|00|14|715|211|308,364,178,186,96,4.0,91,120,364.0,178.0,186.0,91.0,95.7,0.0,code_match,364,0.5158173671398403,705.7
26|00|14|109|028|048,1268,610,658,93,3.9,325,309,1268.0,610.0,658.0,325.0,92.71,0.0,code_match,1268,0.9688054616176984,1308.8
26|00|14|109|032|056,1155,555,600,93,3.6,318,327,1155.0,555.0,600.0,318.0,92.5,0.0,code_match,1155,0.7711257639366232,1497.8
26|00|14|109|032|188,1213,561,652,86,3.7,330,345,1213.0,561.0,652.0,330.0,86.04,0.0,code_match,1213,0.5356669016146618,2264.5
26|00|14|109|087|028,1137,550,587,94,4.1,274,266,1136.0,550.0,586.0,274.0,93.86,-1.0,code_match,1137,2.368929113557452,480.0
26|00|14|109|087|268,773,374,399,94,3.9,200,191,773.0,374.0,399.0,200.0,93.73,0.0,code_match,773,0.45427604169201935,1701.6
26|00|14|109|097|028,2435,1185,1250,95,3.9,627,639,2435.0,1185.0,1250.0,627.0,94.8,0.0,code_match,2435,1.7320289219451506,1405.9
26|00|14|109|097|068,279,137,142,97,3.7,75,70,279.0,137.0,142.0,75.0,96.48,0.0,code_match,279,0.07547551252072587,3696.6
26|00|14|109|097|188,654,329,325,101,4.2,156,150,653.0,328.0,325.0,156.0,100.92,-1.0,code_match,654,0.15587885736148235,4195.6
26|00|14|109|097|368,539,261,278,94,3.8,143,100,539.0,261.0,278.0,143.0,93.88,0.0,code_match,539,0.2813778989850284,1915.6
26|00|14|109|408|188,3400,1642,1758,93,4.0,845,844,3400.0,1642.0,1758.0,845.0,93.4,0.0,code_match,3400,1.6799967142494658,2023.8
26|00|14|109|444|208,720,347,373,93,3.9,183,190,720.0,347.0,373.0,183.0,93.03,0.0,code_match,720,0.569250358437726,1264.8
26|00|14|109|571|268,4494,2241,2253,100,4.3,1047,1016,4494.0,2241.0,2253.0,1047.0,99.47,0.0,code_match,4494,1.1537714881407302,3895.1
26|00|14|143|033|057,1517,742,775,96,3.6,418,410,1516.0,742.0,774.0,418.0,95.87,-1.0,code_match,1517,1.5357353045779247,987.8
26|00|14|143|068|028,421,209,212,99,4.6,92,110,419.0,207.0,212.0,92.0,97.64,-2.0,code_match,421,0.316037176684834,1332.1
26|00|14|143|071|028,597,294,303,97,4.1,145,130,597.0,294.0,303.0,145.0,97.03,0.0,code_match,597,0.39626712154425336,1506.6
26|00|14|143|445|216,108,53,55,96,3.9,28,40,108.0,53.0,55.0,28.0,96.36,0.0,code_match,108,0.218857756408894,493.5
